                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1898,                0.64603,                  1.031,                0.94006,                0.83786,                0.92667,                 0.6186,                 1.0271,                0.58405,                 1.0358,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.1819,                0.65144,                 1.0238,                0.92128,                0.85838,                0.93039,                0.62044,                 1.0522,                0.53232,                 1.0353,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.1783,                0.63943,                 1.0305,                0.92533,                0.82105,                0.92269,                0.61693,                 1.0263,                0.57718,                 1.0241,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.1703,                0.65357,                 1.0195,                0.94109,                0.83903,                0.92025,                0.62363,                 1.0107,                0.56509,                 1.0179,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.1631,                0.63832,                 1.0068,                0.94692,                0.83427,                0.92832,                0.62104,                 1.0353,                0.55657,                 1.0316,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.1689,                0.61956,                 1.0189,                0.94653,                0.83267,                0.91933,                0.61672,                 1.0309,                0.59579,                 1.0261,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.1591,                0.62861,                 1.0163,                0.93268,                0.85086,                0.93727,                0.63063,                 1.0254,                 0.5657,                 1.0215,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.1605,                0.63413,                 1.0019,                0.93711,                0.86458,                0.92611,                0.61254,                 1.0315,                0.51864,                  1.028,               0.009604,               0.009604,               0.009604
                     42,                 1.1428,                 0.6134,                  1.018,                0.92852,                0.83377,                0.92255,                0.62762,                 1.0091,                0.55966,                 1.0171,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.1557,                0.60891,                 1.0018,                0.92726,                0.82536,                0.91688,                0.61652,                 1.0236,                0.56704,                 1.0276,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.1561,                0.62192,                 1.0104,                0.93416,                0.85327,                0.92953,                0.61957,                0.98206,                0.52939,                 1.0146,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.144,                0.60138,                 1.0136,                0.94555,                0.84231,                0.92848,                0.63115,                 1.0131,                0.52882,                 1.0326,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.1572,                0.62802,                 1.0106,                0.92956,                0.86872,                0.92701,                0.61144,                 1.0771,                0.55626,                 1.0385,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.1303,                0.58292,                  1.007,                0.95625,                0.83163,                0.92289,                0.62956,                0.99236,                0.50679,                  1.013,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.1439,                0.59651,                 1.0004,                0.93957,                0.85374,                0.93141,                0.63667,                0.99397,                0.53574,                 1.0227,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.1355,                0.59047,                 1.0075,                0.93019,                0.84432,                0.92157,                0.61589,                 1.0231,                0.53692,                  1.031,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.1346,                 0.5991,                 1.0081,                0.95523,                0.82134,                0.92413,                0.62383,                 1.0543,                0.53565,                  1.029,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.1269,                 0.5874,                 1.0028,                0.94492,                0.85796,                0.93632,                0.63547,                 1.0131,                0.52715,                 1.0208,               0.009505,               0.009505,               0.009505
                     52,                 1.1238,                0.59482,                0.99985,                 0.9202,                0.85173,                0.92822,                0.61515,                 1.0433,                0.55477,                 1.0498,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.1312,                0.58472,                 1.0021,                0.94468,                0.85143,                 0.9346,                0.64694,                0.96042,                0.49776,                 1.0054,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.1211,                  0.595,                0.99665,                0.92116,                0.84279,                0.92114,                0.60506,                 1.0183,                0.55241,                 1.0232,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.1144,                0.57191,                0.99263,                0.95055,                0.85144,                 0.9317,                0.65135,                0.95261,                0.54296,                0.99963,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.1091,                0.57322,                0.99738,                0.93611,                0.85394,                0.92835,                0.64286,                0.98319,                0.51282,                 1.0114,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.1099,                0.56848,                  1.006,                0.94307,                0.84474,                0.93969,                0.64419,                0.97131,                0.50001,                  1.007,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.1101,                0.57496,                0.99117,                0.95457,                0.83473,                0.93175,                0.63452,                0.97759,                0.53414,                 1.0108,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.0998,                0.56711,                0.98851,                0.95807,                0.83622,                0.93555,                0.64613,                 0.9672,                0.49958,                 1.0021,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.0994,                0.56547,                0.99469,                0.92864,                0.87467,                0.94165,                0.63686,                0.99547,                0.47603,                 1.0125,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.0993,                0.55562,                 1.0005,                0.94248,                0.86132,                0.93264,                 0.6372,                 1.0017,                0.49781,                 1.0144,               0.009406,               0.009406,               0.009406
                     62,                  1.099,                0.55297,                0.99076,                0.92415,                0.86816,                 0.9287,                 0.6422,                0.99702,                0.49907,                 1.0179,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.1002,                 0.5756,                 0.9961,                0.91962,                0.86348,                 0.9201,                0.63949,                  0.972,                0.51381,                  1.007,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.0928,                   0.56,                0.99414,                0.95164,                0.85543,                0.93176,                0.64403,                 0.9868,                0.49897,                 1.0063,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.1129,                0.56947,                 1.0019,                0.94941,                0.84209,                0.92951,                0.65018,                0.95828,                0.49527,                0.99604,              0.0093664,              0.0093664,              0.0093664
