                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.85136,                0.42644,                0.91576,                0.95756,                  0.872,                0.94472,                0.66684,                0.93447,                0.44541,                0.99814,              0.0084853,              0.0084853,              0.0084853
                    155,                 0.8569,                 0.4303,                0.90703,                0.94822,                0.88086,                0.94901,                0.66827,                 0.9421,                0.45829,                 1.0127,              0.0084754,              0.0084754,              0.0084754
                    156,                0.86544,                0.42287,                0.91423,                0.95136,                0.88183,                0.94686,                0.66617,                 0.9373,                  0.447,                  1.001,              0.0084655,              0.0084655,              0.0084655
                    157,                0.86106,                 0.4284,                0.91557,                0.95181,                0.86975,                0.94697,                0.66818,                0.92033,                0.46871,                0.99528,              0.0084556,              0.0084556,              0.0084556
                    158,                0.86425,                0.42397,                  0.917,                0.97132,                0.87092,                0.95784,                0.67522,                0.92628,                0.44628,                0.99685,              0.0084457,              0.0084457,              0.0084457
                    159,                0.85506,                0.42795,                0.91381,                 0.9325,                0.90248,                0.95668,                0.67471,                 0.9152,                0.43459,                0.98977,              0.0084358,              0.0084358,              0.0084358
                    160,                0.84457,                 0.4156,                0.90726,                0.94366,                  0.904,                0.95262,                0.67015,                 0.9415,                0.44581,                0.99637,              0.0084259,              0.0084259,              0.0084259
                    161,                0.86706,                0.42777,                0.90833,                0.92915,                0.89292,                0.94772,                0.66941,                0.93834,                0.46573,                 1.0003,               0.008416,               0.008416,               0.008416
                    162,                0.84153,                  0.417,                0.90664,                0.94479,                0.88774,                 0.9551,                0.67256,                0.94386,                0.43192,                0.99969,              0.0084061,              0.0084061,              0.0084061
                    163,                0.84939,                0.41668,                0.90449,                0.95452,                0.87164,                0.95561,                0.67335,                0.94054,                0.44888,                0.99908,              0.0083962,              0.0083962,              0.0083962
                    164,                0.82896,                0.41396,                0.90906,                0.95147,                0.87101,                0.95462,                0.67566,                0.93395,                0.45292,                0.99582,              0.0083863,              0.0083863,              0.0083863
                    165,                  0.854,                0.41897,                 0.9083,                0.94531,                0.87476,                0.94992,                0.67538,                0.92234,                 0.4507,                 1.0001,              0.0083764,              0.0083764,              0.0083764
                    166,                0.83666,                0.41687,                0.89825,                0.95233,                0.88276,                0.95163,                0.66027,                0.95066,                0.45741,                  1.011,              0.0083665,              0.0083665,              0.0083665
                    167,                0.82504,                0.40373,                 0.9048,                0.96164,                0.88674,                0.95603,                0.67057,                0.93274,                 0.4403,                0.99886,              0.0083566,              0.0083566,              0.0083566
                    168,                0.84397,                0.42059,                0.90282,                0.95478,                0.87902,                0.95272,                0.67122,                0.94839,                0.46468,                  1.002,              0.0083467,              0.0083467,              0.0083467
                    169,                0.81709,                0.40341,                0.89695,                0.95278,                 0.8846,                0.94798,                0.67625,                0.92419,                0.45205,                0.99908,              0.0083368,              0.0083368,              0.0083368
                    170,                 0.8269,                0.41038,                0.90552,                 0.9536,                0.89155,                0.94651,                0.66954,                0.92395,                0.43183,                0.99817,              0.0083269,              0.0083269,              0.0083269
                    171,                0.84294,                 0.4175,                0.91186,                0.93633,                0.88642,                0.94774,                0.67183,                 0.9174,                 0.4468,                0.99625,               0.008317,               0.008317,               0.008317
                    172,                0.82417,                0.41624,                0.90293,                0.94721,                0.89076,                0.94704,                0.66904,                0.92672,                0.44523,                  1.006,              0.0083071,              0.0083071,              0.0083071
                    173,                0.82706,                0.40729,                 0.9009,                0.93382,                0.90638,                0.95138,                0.67211,                0.91478,                0.43267,                0.99533,              0.0082972,              0.0082972,              0.0082972
                    174,                0.82498,                0.40804,                0.90626,                0.94527,                 0.8887,                0.95227,                0.67642,                0.90597,                0.42878,                 0.9925,              0.0082873,              0.0082873,              0.0082873
                    175,                0.82021,                0.40434,                0.89494,                0.93314,                0.88785,                0.94877,                0.66737,                0.91447,                0.44414,                 0.9926,              0.0082774,              0.0082774,              0.0082774
                    176,                0.80414,                0.40254,                0.90038,                 0.9339,                0.88497,                0.94315,                0.66356,                0.92415,                0.44396,                 0.9993,              0.0082675,              0.0082675,              0.0082675
                    177,                0.82192,                0.40423,                0.89256,                0.96429,                0.87551,                0.95056,                0.67923,                0.91739,                0.43045,                  1.001,              0.0082576,              0.0082576,              0.0082576
                    178,                0.81538,                0.41265,                0.89254,                 0.9427,                0.89537,                0.95003,                 0.6671,                0.91464,                0.44029,                0.99738,              0.0082477,              0.0082477,              0.0082477
                    179,                0.80768,                0.40567,                0.90114,                 0.9579,                0.88701,                0.95398,                0.67566,                0.92347,                0.44129,                 1.0015,              0.0082378,              0.0082378,              0.0082378
                    180,                0.81539,                0.40448,                0.89576,                0.95869,                0.88025,                0.94089,                 0.6735,                0.90243,                0.43674,                0.99054,              0.0082279,              0.0082279,              0.0082279
                    181,                0.80518,                0.40609,                0.88808,                0.93286,                0.90685,                0.94348,                0.67019,                0.93095,                0.44404,                  1.006,               0.008218,               0.008218,               0.008218
                    182,                0.79704,                0.40269,                0.88805,                 0.9467,                0.88048,                0.94775,                0.66957,                0.92827,                0.44199,                 1.0096,              0.0082081,              0.0082081,              0.0082081
                    183,                0.81749,                0.40154,                0.90177,                0.91223,                0.88886,                0.94979,                0.66983,                0.92349,                 0.4518,                0.99834,              0.0081982,              0.0081982,              0.0081982
                    184,                 0.7975,                0.40772,                   0.89,                0.95298,                0.87065,                0.94788,                0.66934,                 0.9188,                0.43167,                 1.0018,              0.0081883,              0.0081883,              0.0081883
                    185,                 0.8083,                 0.4082,                 0.8973,                0.94724,                0.89672,                0.95596,                 0.6685,                0.94109,                0.42789,                 1.0087,              0.0081784,              0.0081784,              0.0081784
                    186,                0.81416,                0.40428,                0.88843,                0.96006,                0.88658,                0.95769,                0.68131,                0.90693,                0.41511,                 1.0065,              0.0081685,              0.0081685,              0.0081685
                    187,                0.77774,                0.39146,                0.88694,                0.94892,                0.88348,                0.94925,                 0.6685,                0.91986,                0.43024,                 1.0049,              0.0081586,              0.0081586,              0.0081586
                    188,                0.80159,                0.40186,                0.89736,                0.95319,                0.88328,                 0.9481,                0.67689,                0.91674,                0.43236,                0.99966,              0.0081487,              0.0081487,              0.0081487
                    189,                0.78656,                0.39229,                0.89071,                0.95783,                0.89326,                0.95613,                0.67769,                0.92816,                0.41735,                 1.0082,              0.0081388,              0.0081388,              0.0081388
                    190,                0.80198,                0.40231,                0.89175,                0.95437,                0.89856,                0.95394,                0.67814,                0.91291,                0.41754,                 1.0068,              0.0081289,              0.0081289,              0.0081289
                    191,                0.77304,                0.38217,                0.88642,                0.94999,                0.88948,                0.94412,                0.67179,                0.91669,                0.43986,                 1.0093,               0.008119,               0.008119,               0.008119
                    192,                0.79911,                0.39588,                0.89313,                0.96507,                0.89558,                0.95901,                0.68267,                0.93374,                0.41902,                 1.0058,              0.0081091,              0.0081091,              0.0081091
                    193,                0.78148,                0.39793,                0.88468,                0.95344,                0.88757,                0.95881,                 0.6805,                 0.9271,                0.42178,                 1.0004,              0.0080992,              0.0080992,              0.0080992
                    194,                0.78298,                0.39132,                0.88999,                0.94976,                0.89067,                0.95206,                0.67677,                0.90795,                0.43928,                 0.9981,              0.0080893,              0.0080893,              0.0080893
                    195,                0.76668,                0.39176,                0.87485,                 0.9442,                0.89841,                0.95153,                0.67558,                  0.904,                0.43365,                 0.9991,              0.0080794,              0.0080794,              0.0080794
                    196,                0.77927,                0.39432,                0.88771,                0.94597,                0.89302,                0.95226,                0.67288,                0.92163,                0.44232,                 1.0037,              0.0080695,              0.0080695,              0.0080695
                    197,                0.77994,                0.39246,                  0.879,                0.94855,                0.89431,                0.94973,                0.66786,                0.92536,                0.43098,                 1.0071,              0.0080596,              0.0080596,              0.0080596
                    198,                 0.7566,                0.38111,                0.88398,                0.95298,                0.88065,                0.94106,                0.67035,                0.91588,                0.45385,                 1.0026,              0.0080497,              0.0080497,              0.0080497
                    199,                0.75106,                0.37691,                0.87917,                0.93122,                0.88306,                0.93587,                0.65908,                0.91762,                0.46785,                 1.0066,              0.0080398,              0.0080398,              0.0080398
                    200,                 0.7694,                0.38999,                0.87747,                0.95013,                0.88676,                0.94651,                0.66894,                0.91185,                0.43781,                 1.0028,              0.0080299,              0.0080299,              0.0080299
                    201,                0.75892,                0.38237,                0.88023,                0.94485,                0.90537,                0.95887,                0.67777,                0.93162,                0.41974,                 1.0121,                0.00802,                0.00802,                0.00802
                    202,                0.75934,                0.38525,                0.87964,                0.93012,                0.90362,                0.95078,                0.68156,                0.91014,                0.42178,                 1.0053,              0.0080101,              0.0080101,              0.0080101
                    203,                0.77251,                0.39161,                0.87408,                0.95704,                0.86641,                0.94606,                0.67209,                0.90565,                0.43258,                 1.0013,              0.0080002,              0.0080002,              0.0080002
                    204,                0.75837,                0.38221,                 0.8801,                0.93403,                0.89185,                0.94741,                0.67718,                0.91096,                0.44173,                 1.0089,              0.0079903,              0.0079903,              0.0079903
                    205,                0.76454,                0.39187,                 0.8791,                0.94181,                0.88469,                0.92857,                0.66101,                0.91324,                0.44879,                 1.0067,              0.0079804,              0.0079804,              0.0079804
                    206,                0.76574,                0.38511,                0.88576,                0.95063,                0.89726,                0.94353,                0.66861,                 0.9088,                0.44063,                 0.9999,              0.0079705,              0.0079705,              0.0079705
                    207,                0.75601,                0.38659,                 0.8817,                0.94452,                0.89578,                0.93571,                0.66548,                0.90427,                0.43806,                0.99855,              0.0079606,              0.0079606,              0.0079606
                    208,                0.76217,                0.37873,                0.87802,                0.95034,                0.89331,                0.94361,                 0.6738,                0.90123,                0.43157,                0.99911,              0.0079507,              0.0079507,              0.0079507
                    209,                0.73186,                0.37225,                 0.8787,                0.94792,                0.89702,                0.95019,                0.68016,                0.90934,                0.43594,                 1.0051,              0.0079408,              0.0079408,              0.0079408
                    210,                0.75762,                0.37953,                 0.8787,                0.94042,                0.89221,                0.95171,                0.67897,                0.90268,                0.43637,                 1.0051,              0.0079309,              0.0079309,              0.0079309
                    211,                0.74422,                0.38202,                0.87627,                0.93726,                 0.9047,                0.95283,                0.68113,                0.89738,                0.43994,                0.99141,               0.007921,               0.007921,               0.007921
                    212,                 0.7555,                0.38187,                0.87318,                0.94368,                0.90174,                0.94941,                0.67878,                    0.9,                0.43002,                0.99844,              0.0079111,              0.0079111,              0.0079111
                    213,                0.74194,                0.37518,                0.87685,                0.93722,                0.89362,                0.93077,                0.66458,                0.89718,                 0.4451,                 1.0008,              0.0079012,              0.0079012,              0.0079012
                    214,                0.73999,                0.37354,                0.87371,                0.95132,                0.89055,                0.95462,                0.68441,                0.90263,                0.41592,                 1.0066,              0.0078913,              0.0078913,              0.0078913
                    215,                 0.7501,                0.38328,                0.86839,                0.93008,                0.90412,                0.95002,                0.66963,                0.90993,                0.42708,                 1.0112,              0.0078814,              0.0078814,              0.0078814
                    216,                0.72913,                0.37915,                0.87013,                0.92907,                0.89352,                0.95245,                0.67788,                0.89646,                0.43502,                 1.0076,              0.0078715,              0.0078715,              0.0078715
                    217,                0.74183,                0.38323,                0.88252,                0.92855,                 0.8996,                0.95006,                0.67549,                0.91664,                0.43095,                 1.0054,              0.0078616,              0.0078616,              0.0078616
                    218,                0.72794,                 0.3672,                0.87197,                0.94183,                 0.8955,                0.94921,                0.67267,                0.90906,                0.42582,                  1.012,              0.0078517,              0.0078517,              0.0078517
                    219,                0.74154,                 0.3786,                0.87413,                0.93821,                0.89224,                0.94874,                0.66556,                0.91799,                0.44789,                  1.022,              0.0078418,              0.0078418,              0.0078418
                    220,                0.73293,                0.37665,                0.87533,                0.92472,                0.90911,                0.95198,                0.66729,                0.89892,                0.42256,                 1.0116,              0.0078319,              0.0078319,              0.0078319
                    221,                0.72465,                0.36942,                0.86681,                0.95099,                0.87321,                0.94311,                0.66754,                 0.8952,                0.41787,                 1.0104,               0.007822,               0.007822,               0.007822
                    222,                0.72993,                0.36686,                0.87203,                 0.9391,                0.90025,                0.93825,                0.67189,                0.89662,                0.41617,                 1.0066,              0.0078121,              0.0078121,              0.0078121
                    223,                 0.7139,                0.36418,                0.86566,                0.93741,                0.90162,                0.93558,                0.67095,                0.90446,                0.43241,                 1.0088,              0.0078022,              0.0078022,              0.0078022
                    224,                0.71778,                0.37518,                0.86898,                0.93861,                0.89554,                0.95043,                0.67642,                0.90022,                0.41748,                 1.0034,              0.0077923,              0.0077923,              0.0077923
                    225,                0.72527,                0.37409,                0.87041,                0.93788,                0.90211,                0.94591,                0.67878,                0.88807,                0.42014,                0.99848,              0.0077824,              0.0077824,              0.0077824
                    226,                0.72968,                 0.3754,                0.87259,                0.95447,                0.89257,                0.95135,                 0.6802,                0.89959,                 0.4087,                 1.0003,              0.0077725,              0.0077725,              0.0077725
                    227,                 0.7139,                0.36296,                0.86482,                0.94388,                0.90528,                0.95047,                0.67545,                0.90244,                 0.4183,                 1.0032,              0.0077626,              0.0077626,              0.0077626
                    228,                0.70365,                 0.3624,                0.86224,                0.95366,                0.88938,                0.94999,                0.67591,                0.92005,                 0.4261,                 1.0145,              0.0077527,              0.0077527,              0.0077527
                    229,                0.70773,                0.35885,                0.86895,                 0.9493,                0.89287,                0.95413,                0.67961,                 0.9083,                0.41412,                   1.01,              0.0077428,              0.0077428,              0.0077428
                    230,                0.71347,                0.36039,                 0.8659,                0.94706,                0.88487,                0.94955,                0.67528,                0.91559,                0.45123,                 1.0129,              0.0077329,              0.0077329,              0.0077329
                    231,                0.70867,                 0.3655,                0.87506,                0.94624,                0.88336,                 0.9417,                0.66581,                0.91617,                0.44392,                 1.0124,               0.007723,               0.007723,               0.007723
                    232,                0.72201,                0.37417,                0.86956,                0.95022,                 0.9031,                0.94808,                0.66667,                0.93686,                0.42875,                 1.0181,              0.0077131,              0.0077131,              0.0077131
                    233,                 0.6983,                0.36836,                0.86804,                0.93399,                0.90679,                0.94834,                0.67174,                0.91043,                0.45288,                 1.0121,              0.0077032,              0.0077032,              0.0077032
                    234,                0.71291,                0.35967,                0.86708,                0.95656,                0.88938,                0.94364,                 0.6718,                0.90439,                0.44467,                  1.008,              0.0076933,              0.0076933,              0.0076933
                    235,                0.71021,                0.36743,                0.86296,                0.93353,                0.90209,                0.94057,                0.66258,                 0.9059,                 0.4495,                 1.0144,              0.0076834,              0.0076834,              0.0076834
                    236,                0.71569,                0.37187,                0.86413,                0.94612,                0.87878,                0.94546,                0.67032,                0.91412,                0.45453,                 1.0156,              0.0076735,              0.0076735,              0.0076735
                    237,                0.70792,                0.37327,                0.86757,                0.94745,                 0.8886,                0.95017,                0.68208,                0.91245,                0.43571,                 1.0076,              0.0076636,              0.0076636,              0.0076636
                    238,                0.70166,                0.36198,                0.86231,                 0.9499,                 0.8801,                 0.9473,                0.67341,                 0.9073,                0.45298,                 1.0137,              0.0076537,              0.0076537,              0.0076537
                    239,                0.70903,                0.35893,                0.87038,                0.92484,                0.89316,                0.94235,                0.67175,                0.90695,                 0.4333,                 1.0099,              0.0076438,              0.0076438,              0.0076438
                    240,                0.69495,                0.35218,                0.86141,                0.94565,                 0.8836,                0.94887,                0.68499,                 0.8959,                0.41812,                  1.005,              0.0076339,              0.0076339,              0.0076339
                    241,                0.69447,                0.36159,                0.85673,                0.95429,                0.88792,                0.95257,                0.68699,                0.88309,                0.43181,                 1.0036,               0.007624,               0.007624,               0.007624
                    242,                0.68262,                0.35758,                0.86269,                0.95992,                0.89428,                0.95654,                0.69146,                0.88668,                0.41088,                  1.002,              0.0076141,              0.0076141,              0.0076141
                    243,                0.69211,                0.35659,                0.85444,                0.95178,                0.90262,                0.95799,                0.68408,                 0.8886,                0.39523,                 1.0033,              0.0076042,              0.0076042,              0.0076042
                    244,                0.68857,                0.35483,                0.86079,                0.96311,                0.88918,                0.96182,                0.69013,                0.89786,                0.39808,                 1.0086,              0.0075943,              0.0075943,              0.0075943
                    245,                0.69237,                0.36044,                0.86272,                0.96643,                0.89577,                0.96135,                0.68843,                0.89575,                0.40019,                 1.0077,              0.0075844,              0.0075844,              0.0075844
                    246,                0.68104,                0.35975,                0.85641,                0.96298,                0.88641,                 0.9575,                0.68817,                0.87858,                 0.4051,                 1.0011,              0.0075745,              0.0075745,              0.0075745
                    247,                0.69059,                0.36328,                0.86068,                 0.9539,                0.88594,                0.95844,                0.68971,                0.88658,                0.41817,                 1.0098,              0.0075646,              0.0075646,              0.0075646
                    248,                 0.6911,                0.35374,                0.86579,                0.93037,                0.90629,                0.95594,                0.68576,                0.90978,                0.43406,                 1.0204,              0.0075547,              0.0075547,              0.0075547
                    249,                0.69063,                0.36029,                0.86074,                0.94723,                0.89827,                0.95483,                0.68869,                 0.9038,                0.43008,                 1.0132,              0.0075448,              0.0075448,              0.0075448
                    250,                0.68422,                0.35336,                0.86377,                 0.9617,                0.88847,                0.96051,                0.68707,                0.89209,                0.40423,                 1.0078,              0.0075349,              0.0075349,              0.0075349
                    251,                0.68437,                0.35874,                0.85653,                0.95027,                0.89752,                0.95978,                0.68772,                0.89014,                0.40748,                 1.0069,               0.007525,               0.007525,               0.007525
                    252,                0.68621,                0.35726,                0.85792,                0.95587,                0.90189,                  0.962,                0.68456,                0.91151,                 0.4231,                 1.0131,              0.0075151,              0.0075151,              0.0075151
                    253,                0.68191,                0.35855,                0.85617,                0.95154,                0.89956,                0.95542,                0.68178,                0.89582,                0.42279,                 1.0122,              0.0075052,              0.0075052,              0.0075052
                    254,                0.70022,                0.36262,                0.86383,                0.93945,                0.90038,                0.94597,                0.67735,                0.88997,                 0.4303,                 1.0129,              0.0074953,              0.0074953,              0.0074953
                    255,                0.67915,                  0.356,                0.85288,                0.95549,                0.89389,                0.95108,                0.68461,                0.88453,                0.41633,                 1.0093,              0.0074854,              0.0074854,              0.0074854
                    256,                0.69191,                0.35527,                0.85648,                0.94302,                0.90135,                0.95363,                0.68038,                  0.899,                0.41734,                 1.0115,              0.0074755,              0.0074755,              0.0074755
                    257,                0.69606,                0.35593,                0.85493,                0.95744,                0.89516,                0.95317,                0.68381,                0.88831,                0.41177,                 1.0159,              0.0074656,              0.0074656,              0.0074656
                    258,                0.67148,                0.35084,                0.85566,                0.95254,                0.90276,                0.94464,                0.66818,                0.89645,                0.41839,                 1.0195,              0.0074557,              0.0074557,              0.0074557
                    259,                0.68218,                0.35661,                0.85915,                0.95257,                0.90434,                0.94889,                0.67054,                 0.9067,                0.41215,                 1.0218,              0.0074458,              0.0074458,              0.0074458
                    260,                0.67425,                 0.3578,                0.85862,                0.93755,                0.91359,                0.95135,                 0.6784,                  0.897,                0.41602,                 1.0188,              0.0074359,              0.0074359,              0.0074359
                    261,                0.67724,                0.35639,                0.85943,                0.95443,                 0.9042,                0.95742,                 0.6809,                0.89803,                0.42049,                  1.022,               0.007426,               0.007426,               0.007426
                    262,                0.67718,                0.35412,                0.86285,                0.95501,                0.90163,                0.95309,                0.67749,                0.90305,                0.42447,                 1.0181,              0.0074161,              0.0074161,              0.0074161
                    263,                 0.6687,                0.35144,                0.85762,                0.95507,                0.90247,                0.94996,                 0.6799,                0.88483,                0.42967,                 1.0103,              0.0074062,              0.0074062,              0.0074062
                    264,                0.67716,                0.35485,                0.85502,                0.95359,                0.89433,                0.95092,                0.68395,                0.89089,                0.43957,                  1.014,              0.0073963,              0.0073963,              0.0073963
                    265,                0.64026,                0.33989,                0.85173,                0.95538,                0.88783,                0.95313,                0.68177,                0.89919,                0.42007,                 1.0202,              0.0073864,              0.0073864,              0.0073864
                    266,                0.65645,                0.34704,                0.84986,                0.95356,                0.88102,                 0.9465,                0.68127,                0.90036,                0.44939,                 1.0204,              0.0073765,              0.0073765,              0.0073765
                    267,                0.65762,                0.34958,                0.84946,                0.93597,                0.89117,                0.94142,                0.67183,                0.89291,                0.46232,                 1.0118,              0.0073666,              0.0073666,              0.0073666
                    268,                0.66584,                0.35104,                 0.8533,                 0.9479,                0.89119,                0.94602,                0.67312,                0.89591,                0.44191,                 1.0137,              0.0073567,              0.0073567,              0.0073567
                    269,                0.65414,                0.33824,                0.84868,                0.94196,                0.89335,                0.94677,                0.66998,                0.90561,                0.45301,                 1.0192,              0.0073468,              0.0073468,              0.0073468
                    270,                0.65051,                0.34424,                0.85117,                0.93118,                0.90439,                0.94457,                0.67142,                0.89478,                0.45748,                 1.0146,              0.0073369,              0.0073369,              0.0073369
                    271,                0.66335,                0.35233,                0.85387,                0.94055,                0.90662,                0.94663,                0.67696,                0.88921,                0.44391,                 1.0148,               0.007327,               0.007327,               0.007327
                    272,                0.65829,                0.34715,                0.85839,                0.95567,                0.88937,                0.94558,                 0.6753,                0.89429,                0.43613,                 1.0174,              0.0073171,              0.0073171,              0.0073171
                    273,                0.65647,                0.34414,                0.84646,                0.93292,                0.91462,                0.94833,                0.68103,                0.89062,                0.44513,                 1.0162,              0.0073072,              0.0073072,              0.0073072
                    274,                0.65779,                0.34487,                0.84791,                0.94852,                0.89458,                0.95008,                0.68536,                0.87861,                0.43459,                 1.0131,              0.0072973,              0.0072973,              0.0072973
                    275,                0.65173,                0.34322,                0.85202,                0.94687,                0.89319,                0.94732,                0.68444,                0.87531,                0.44113,                 1.0089,              0.0072874,              0.0072874,              0.0072874
                    276,                0.64815,                 0.3381,                0.84727,                0.93629,                 0.8977,                0.94693,                0.68643,                0.87937,                0.43419,                 1.0081,              0.0072775,              0.0072775,              0.0072775
                    277,                0.63835,                0.33465,                0.84496,                0.95651,                  0.879,                0.94644,                0.68431,                0.88333,                0.44024,                   1.01,              0.0072676,              0.0072676,              0.0072676
                    278,                0.65096,                0.34507,                0.85111,                0.94783,                0.89471,                0.94602,                0.67815,                0.89669,                0.41957,                 1.0145,              0.0072577,              0.0072577,              0.0072577
                    279,                 0.6501,                0.34139,                0.84534,                0.94852,                0.89949,                0.94987,                0.68206,                0.88092,                0.42186,                 1.0123,              0.0072478,              0.0072478,              0.0072478
                    280,                 0.6504,                0.34297,                0.85385,                0.92017,                0.93049,                 0.9507,                0.67804,                0.87625,                0.41231,                   1.01,              0.0072379,              0.0072379,              0.0072379
                    281,                0.62833,                0.32953,                0.84075,                0.92952,                0.92162,                0.95324,                0.68343,                0.87437,                0.41009,                 1.0085,               0.007228,               0.007228,               0.007228
                    282,                0.64024,                0.33093,                0.84868,                0.92656,                0.92333,                 0.9495,                0.68569,                0.87486,                0.40703,                 1.0063,              0.0072181,              0.0072181,              0.0072181
                    283,                0.64027,                0.33865,                0.84724,                0.94246,                0.91676,                0.94439,                0.68189,                0.87339,                 0.4065,                 1.0065,              0.0072082,              0.0072082,              0.0072082
                    284,                0.64605,                0.33733,                0.85439,                0.94925,                0.91175,                0.94891,                0.68173,                0.87853,                0.40952,                  1.009,              0.0071983,              0.0071983,              0.0071983
                    285,                0.63412,                0.33985,                 0.8464,                0.93892,                0.91006,                 0.9489,                0.68127,                0.87431,                0.42283,                 1.0112,              0.0071884,              0.0071884,              0.0071884
                    286,                0.63334,                0.34098,                0.83961,                0.93952,                0.90243,                0.94459,                0.68156,                0.88905,                0.42055,                 1.0118,              0.0071785,              0.0071785,              0.0071785
                    287,                  0.635,                0.34118,                0.84812,                0.93251,                0.91258,                0.94787,                0.68183,                0.89076,                0.41924,                 1.0159,              0.0071686,              0.0071686,              0.0071686
                    288,                0.63565,                0.33706,                0.85121,                 0.9241,                0.91821,                 0.9467,                0.68277,                0.87543,                0.42147,                 1.0144,              0.0071587,              0.0071587,              0.0071587
                    289,                0.63089,                0.32737,                0.85088,                0.93903,                 0.9086,                0.95162,                0.67972,                0.88584,                0.40906,                 1.0202,              0.0071488,              0.0071488,              0.0071488
                    290,                0.62238,                0.32982,                0.84884,                0.92502,                  0.917,                0.94987,                 0.6807,                0.88732,                0.39986,                 1.0192,              0.0071389,              0.0071389,              0.0071389
                    291,                0.63543,                 0.3371,                0.84363,                0.94847,                0.90755,                0.94481,                0.68398,                0.88425,                0.39221,                 1.0157,               0.007129,               0.007129,               0.007129
                    292,                0.64035,                0.33985,                0.84369,                0.94409,                0.91601,                0.95018,                0.69004,                0.88996,                0.39644,                 1.0216,              0.0071191,              0.0071191,              0.0071191
